Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Chennai,Petrol,Manual,First,5.0,4.5,9,honda,jazz,18.2,1199.0,88.7,46
Chennai,Diesel,Manual,First,7.0,6.0,8,maruti,ertiga,20.77,1248.0,88.76,87
Jaipur,Diesel,Manual,First,5.0,3.5,7,nissan,micra,23.08,1461.0,63.1,86
Chennai,Diesel,Manual,Second,5.0,1.95,8,tata,indica,22.3,1248.0,74.0,65
Jaipur,Diesel,Manual,First,5.0,5.6,5,maruti,swift,25.2,1248.0,74.0,64
Kochi,Diesel,Manual,First,5.0,5.4,4,honda,amaze,25.8,1498.0,98.6,58
Jaipur,Diesel,Manual,First,5.0,5.99,3,maruti,swift,28.4,1248.0,74.0,25
Kochi,Diesel,Manual,First,5.0,6.34,6,renault,duster,20.45,1461.0,83.8,77
Bangalore,Diesel,Manual,Second,5.0,8.25,5,maruti,s,23.65,1248.0,88.5,55
Kolkata,Petrol,Manual,First,5.0,1.87,10,hyundai,i20,18.5,1197.0,80.0,45
Hyderabad,Diesel,Manual,First,5.0,4.25,8,nissan,micra,23.08,1461.0,63.1,54
Hyderabad,Petrol,Manual,Second,5.0,2.75,7,maruti,alto,20.92,998.0,67.1,54
Kochi,Petrol,Manual,First,5.0,9.9,2,honda,wrv,17.5,1199.0,88.7,37
Jaipur,Petrol,Manual,Second,5.0,1.85,11,maruti,wagon,14.0,1061.0,64.0,83
Kochi,Diesel,Manual,First,5.0,8.63,2,maruti,vitara,24.3,1248.0,88.5,50
Delhi,Petrol,Manual,First,5.0,4.85,3,mahindra,kuv,18.15,1198.0,82.0,52
Chennai,Diesel,Manual,First,5.0,5.0,7,volkswagen,polo,22.07,1199.0,73.9,62
Delhi,Petrol,Manual,Second,5.0,1.25,12,maruti,alto,19.7,796.0,46.3,90
Kochi,Petrol,Manual,First,4.0,1.53,6,tata,nano,25.4,624.0,37.5,19
Coimbatore,Diesel,Manual,First,6.0,5.58,3,mahindra,kuv,25.32,1198.0,77.0,22
Kochi,Petrol,Manual,First,5.0,4.74,6,hyundai,i20,18.5,1197.0,82.9,35
Jaipur,Diesel,Manual,First,5.0,3.85,6,hyundai,xcent,24.4,1120.0,71.0,75
Delhi,Diesel,Manual,First,5.0,4.25,6,maruti,swift,22.9,1248.0,74.0,52
Kolkata,Diesel,Manual,First,5.0,3.3,6,maruti,swift,17.8,1248.0,75.0,53
Delhi,Diesel,Manual,First,5.0,3.85,7,maruti,swift,28.4,1248.0,74.0,65
Chennai,Petrol,Manual,Third,5.0,3.6,5,hyundai,grand,18.9,1197.0,82.0,54
Kochi,Petrol,Manual,First,5.0,3.3,3,renault,kwid,25.17,799.0,53.3,16
Kolkata,Petrol,Manual,First,5.0,2.07,10,hyundai,i10,20.36,1197.0,78.9,32
Hyderabad,Petrol,Manual,First,5.0,2.25,10,maruti,zen,18.2,998.0,67.1,39
Bangalore,Diesel,Manual,First,5.0,2.75,10,ford,figo,20.0,1399.0,68.0,72
Chennai,Diesel,Manual,First,5.0,2.5,4,tata,indica,25.0,1396.0,69.0,178
Mumbai,Petrol,Automatic,Second,5.0,1.85,13,honda,city,16.4,1497.0,78.0,63
Pune,Diesel,Manual,First,7.0,8.15,4,maruti,ertiga,24.52,1248.0,88.5,63
Kochi,Petrol,Automatic,First,5.0,3.48,8,hyundai,i10,16.95,1197.0,78.9,45
Coimbatore,Petrol,Automatic,Second,5.0,6.46,4,honda,brio,16.5,1198.0,86.8,37
Jaipur,Diesel,Manual,First,5.0,3.75,8,maruti,swift,22.9,1248.0,74.0,95
Pune,Petrol,Manual,First,5.0,4.5,3,tata,zest,17.57,1193.0,88.7,70
Kochi,Petrol,Manual,First,5.0,4.82,4,honda,amaze,18.0,1198.0,86.7,54
Hyderabad,Diesel,Manual,First,5.0,2.8,8,ford,figo,20.0,1399.0,68.0,70
Jaipur,Diesel,Manual,First,5.0,3.11,7,maruti,ritz,23.2,1248.0,73.94,99
Pune,Petrol,Manual,First,5.0,2.25,11,hyundai,i10,20.36,1197.0,78.9,95
Bangalore,Petrol,Manual,First,5.0,5.75,4,hyundai,grand,18.9,1197.0,82.0,16
Mumbai,Petrol,Manual,First,5.0,5.0,4,honda,amaze,17.8,1198.0,86.7,18
Delhi,Diesel,Manual,First,5.0,5.5,7,ford,ecosport,22.7,1498.0,89.84,57
Kolkata,Diesel,Manual,First,5.0,3.5,5,honda,amaze,25.8,1498.0,98.6,30
Kolkata,Diesel,Manual,First,5.0,2.79,7,volkswagen,polo,22.07,1199.0,73.9,34
Bangalore,Petrol,Manual,First,5.0,4.45,4,maruti,wagon,18.9,998.0,67.1,62
Pune,Diesel,Manual,Second,5.0,3.8,9,hyundai,i20,23.0,1396.0,90.0,78
Mumbai,Petrol,Manual,First,5.0,4.65,6,hyundai,i20,18.5,1197.0,82.85,30
Pune,Petrol,Manual,First,7.0,3.95,3,datsun,go,19.83,1198.0,67.0,32
Pune,Petrol,Manual,Second,5.0,2.7,11,hyundai,i20,17.0,1197.0,80.0,66
Coimbatore,Petrol,Manual,First,5.0,2.41,10,maruti,omni,14.0,796.0,35.0,93
Ahmedabad,Petrol,Manual,First,5.0,3.9,6,toyota,etios,17.71,1197.0,78.9,53
Coimbatore,Petrol,Manual,First,5.0,3.91,3,maruti,eeco,15.1,1196.0,73.0,38
Bangalore,Petrol,Manual,First,4.0,2.15,6,tata,nano,25.4,624.0,37.5,25
Coimbatore,Petrol,Automatic,First,5.0,6.55,4,nissan,micra,19.15,1198.0,75.94,39
Mumbai,Diesel,Manual,First,5.0,7.5,4,maruti,vitara,24.3,1248.0,88.5,55
Pune,Petrol,Manual,First,5.0,2.45,9,maruti,wagon,18.9,998.0,67.1,43
Coimbatore,Petrol,Automatic,First,4.0,3.23,3,tata,nano,21.9,624.0,37.48,32
Kochi,Petrol,Manual,First,5.0,7.47,3,maruti,ciaz,20.73,1373.0,91.1,44
Coimbatore,Petrol,Manual,First,5.0,5.81,4,maruti,ritz,21.1,1197.0,85.8,30
Hyderabad,Petrol,Manual,First,5.0,2.6,6,maruti,alto,24.07,998.0,67.1,88
Chennai,Petrol,Manual,Second,5.0,1.6,10,maruti,alto,19.7,796.0,46.3,94
Mumbai,Petrol,Automatic,First,5.0,6.0,5,honda,jazz,19.0,1199.0,88.7,12
Kolkata,Diesel,Manual,First,5.0,3.7,6,honda,amaze,25.8,1498.0,98.6,45
Kochi,Petrol,Manual,First,5.0,5.43,4,maruti,swift,22.0,1197.0,81.8,34
Pune,Petrol,Manual,First,5.0,2.85,6,chevrolet,beat,18.6,1199.0,76.8,38
Kochi,Petrol,Manual,First,5.0,9.9,2,maruti,ciaz,20.73,1373.0,91.1,41
Chennai,Diesel,Manual,First,5.0,6.25,4,maruti,swift,22.9,1248.0,74.0,35
Kochi,Petrol,Manual,First,5.0,4.23,1,hyundai,eon,21.1,814.0,55.2,14
Jaipur,Diesel,Manual,First,5.0,3.5,8,volkswagen,polo,22.07,1199.0,73.9,65
Kolkata,Petrol,Manual,First,5.0,2.5,4,datsun,go,20.63,1198.0,67.06,6
Kolkata,Petrol,Manual,First,5.0,2.39,7,honda,brio,19.4,1198.0,86.8,33
Kochi,Diesel,Manual,First,5.0,7.11,5,honda,city,26.0,1498.0,98.6,42
Ahmedabad,Petrol,Manual,First,5.0,6.2,3,maruti,swift,20.4,1197.0,81.8,24
Kochi,Diesel,Manual,First,5.0,4.42,6,ford,ecosport,22.7,1498.0,89.84,147
Jaipur,Diesel,Manual,Second,5.0,2.1,10,ford,figo,20.0,1399.0,68.0,66
Bangalore,Petrol,Manual,Second,5.0,3.65,8,honda,brio,19.4,1198.0,86.8,45
Delhi,Petrol,Manual,First,5.0,2.75,7,hyundai,i10,20.36,1197.0,78.9,60
Kolkata,Petrol,Manual,First,5.0,6.5,1,hyundai,grand,18.9,1197.0,81.86,1
Bangalore,Diesel,Manual,First,5.0,8.35,6,hyundai,i20,22.54,1396.0,88.73,29
Jaipur,Diesel,Manual,First,5.0,1.5,8,chevrolet,beat,25.44,936.0,57.6,88
Hyderabad,Diesel,Manual,First,5.0,4.2,8,volkswagen,polo,22.07,1199.0,73.9,63
Kochi,Petrol,Manual,First,5.0,7.5,3,maruti,baleno,21.4,1197.0,83.1,24
Kochi,Petrol,Manual,First,5.0,4.04,3,hyundai,i10,19.81,1086.0,68.05,52
Chennai,Diesel,Manual,First,5.0,2.6,10,ford,figo,20.0,1399.0,68.0,120
Mumbai,Diesel,Manual,First,7.0,8.5,4,maruti,ertiga,25.47,1248.0,88.5,33
Kolkata,Diesel,Manual,First,5.0,3.5,6,honda,amaze,25.8,1498.0,98.6,52
Jaipur,Petrol,Manual,First,5.0,3.55,5,hyundai,i10,20.36,1197.0,78.9,43
Kolkata,Diesel,Manual,First,5.0,3.25,7,honda,amaze,25.8,1498.0,98.6,50
Delhi,Diesel,Manual,First,5.0,5.35,6,renault,duster,19.87,1461.0,83.8,90
Chennai,Diesel,Manual,Second,7.0,6.5,3,mahindra,nuvosport,17.45,1493.0,100.0,29
Mumbai,Diesel,Manual,First,5.0,9.0,4,maruti,vitara,24.3,1248.0,88.5,20
Kochi,Petrol,Manual,First,5.0,6.0,4,hyundai,i20,18.6,1197.0,81.83,61
Jaipur,Petrol,Manual,First,5.0,2.75,11,skoda,fabia,14.7,1390.0,85.0,87
Pune,Petrol,Manual,First,5.0,1.5,10,tata,indigo,15.64,1193.0,64.1,70
Delhi,Diesel,Manual,First,5.0,3.0,6,toyota,etios,23.59,1364.0,67.06,104
Kolkata,Diesel,Manual,First,5.0,3.25,7,honda,amaze,27.4,1498.0,98.6,45
Mumbai,Diesel,Manual,First,5.0,5.95,6,renault,duster,20.46,1461.0,83.8,30
Mumbai,Petrol,Automatic,First,5.0,4.22,4,maruti,wagon,20.51,998.0,67.0,8
Pune,Petrol,Manual,Second,5.0,2.9,8,hyundai,i10,19.81,1086.0,68.05,44
Coimbatore,Petrol,Manual,First,5.0,8.22,2,hyundai,i20,17.19,1197.0,81.86,25
Kolkata,Diesel,Manual,Second,5.0,3.5,6,honda,amaze,25.8,1498.0,98.6,64
Chennai,Petrol,Manual,Second,5.0,1.25,16,maruti,wagon,18.9,998.0,67.1,61
Hyderabad,Diesel,Manual,First,5.0,3.7,7,mahindra,verito,21.03,1461.0,65.0,107
Kolkata,Petrol,Manual,First,5.0,2.65,7,maruti,wagon,22.5,998.0,67.04,32
Kochi,Petrol,Manual,Second,5.0,3.32,4,chevrolet,beat,18.6,1199.0,76.8,60
Mumbai,Diesel,Manual,First,5.0,3.6,8,volkswagen,polo,22.07,1199.0,73.9,45
